,shop_id,shop_earnings,total_items_sold,date
0,2,33023.5,27.0,03/09/2019
1,3,22481.0,11.0,03/09/2019
2,4,9787.0,13.0,03/09/2019
3,5,11046.0,15.0,03/09/2019
4,6,38784.0,50.0,03/09/2019
5,7,17457.0,21.0,03/09/2019
6,10,7569.0,10.0,03/09/2019
7,12,70732.133333333,72.0,03/09/2019
8,14,11152.0,17.0,03/09/2019
9,15,41713.0,31.0,03/09/2019
10,16,39842.0,22.0,03/09/2019
11,18,11797.0,32.0,03/09/2019
12,19,20336.0,20.0,03/09/2019
13,21,74939.5,60.0,03/09/2019
14,22,41555.0,47.0,03/09/2019
15,24,18985.0,23.0,03/09/2019
16,25,93932.0,104.0,03/09/2019
17,26,39675.0,37.0,03/09/2019
18,27,52108.0,60.0,03/09/2019
19,28,58538.0,82.0,03/09/2019
20,29,28579.0,24.0,03/09/2019
21,31,89366.0,134.0,03/09/2019
22,34,4039.0,6.0,03/09/2019
23,35,29779.0,28.0,03/09/2019
24,37,70701.0,21.0,03/09/2019
25,38,24494.0,22.0,03/09/2019
26,39,10123.0,18.0,03/09/2019
27,41,12280.0,10.0,03/09/2019
28,42,109288.0,83.0,03/09/2019
29,44,47690.0,17.0,03/09/2019
30,45,16369.0,32.0,03/09/2019
31,46,31061.8,33.0,03/09/2019
32,47,26714.0,26.0,03/09/2019
33,48,10915.0,21.0,03/09/2019
34,49,11928.0,11.0,03/09/2019
35,50,47336.0,23.0,03/09/2019
36,51,3095.0,8.0,03/09/2019
37,52,21837.34,24.0,03/09/2019
38,53,16631.0,26.0,03/09/2019
39,54,39784.0,65.0,03/09/2019
40,55,24204.2,60.0,03/09/2019
41,56,15703.0,25.0,03/09/2019
42,57,73078.0,108.0,03/09/2019
43,58,45106.0,56.0,03/09/2019
44,59,37451.0,37.0,03/09/2019
45,2,33023.5,27.0,03/12/2019
46,3,22481.0,11.0,03/12/2019
47,4,9787.0,13.0,03/12/2019
48,5,11046.0,15.0,03/12/2019
49,6,38784.0,50.0,03/12/2019
50,7,17457.0,21.0,03/12/2019
51,10,7569.0,10.0,03/12/2019
52,12,70732.133333333,72.0,03/12/2019
53,14,11152.0,17.0,03/12/2019
54,15,41713.0,31.0,03/12/2019
55,16,39842.0,22.0,03/12/2019
56,18,11797.0,32.0,03/12/2019
57,19,20336.0,20.0,03/12/2019
58,21,74939.5,60.0,03/12/2019
59,22,41555.0,47.0,03/12/2019
60,24,18985.0,23.0,03/12/2019
61,25,93932.0,104.0,03/12/2019
62,26,39675.0,37.0,03/12/2019
63,27,52108.0,60.0,03/12/2019
64,28,58538.0,82.0,03/12/2019
65,29,28579.0,24.0,03/12/2019
66,31,89366.0,134.0,03/12/2019
67,34,4039.0,6.0,03/12/2019
68,35,29779.0,28.0,03/12/2019
69,37,70701.0,21.0,03/12/2019
70,38,24494.0,22.0,03/12/2019
71,39,10123.0,18.0,03/12/2019
72,41,12280.0,10.0,03/12/2019
73,42,109288.0,83.0,03/12/2019
74,44,47690.0,17.0,03/12/2019
75,45,16369.0,32.0,03/12/2019
76,46,31061.8,33.0,03/12/2019
77,47,26714.0,26.0,03/12/2019
78,48,10915.0,21.0,03/12/2019
79,49,11928.0,11.0,03/12/2019
80,50,47336.0,23.0,03/12/2019
81,51,3095.0,8.0,03/12/2019
82,52,21837.34,24.0,03/12/2019
83,53,16631.0,26.0,03/12/2019
84,54,39784.0,65.0,03/12/2019
85,55,24204.2,60.0,03/12/2019
86,56,15703.0,25.0,03/12/2019
87,57,73078.0,108.0,03/12/2019
88,58,45106.0,56.0,03/12/2019
89,59,37451.0,37.0,03/12/2019
